datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
06-06-2022 12:06,321.8175606,317.16,314.355,313.5833333,308.745,305.94,301.2824394,311.4,311.4,295.65,297.9,122670
07-06-2022 12:06,313.769863,306.5625,302.23125,301.65,293.56875,289.2375,282.030137,297.95,304.7,289.7,293.35,248848
08-06-2022 12:06,308.5389886,301.6,297.475,295.9166667,289.225,285.1,278.1610114,295.85,296.7,282,286.1,194760
09-06-2022 12:06,301.0137234,294.185,290.1425,288.2666667,282.0575,278.015,271.1862766,286.45,298.4,282.8,288.75,231309
10-06-2022 12:06,304.6782178,297.33,293.04,289.9833333,284.46,280.17,272.8217822,287.7,291.95,284.2,285.25,149291
13-06-2022 12:06,293.028633,289.5125,287.38125,287.1333333,283.11875,280.9875,277.471367,281,281,272,275,66359
14-06-2022 12:06,284.0992647,279.95,277.475,276,272.525,270.05,265.9007353,274.5,281.55,270.2,272.1,96770
15-06-2022 12:06,283.5298113,278.3425,275.22125,274.6166667,268.97875,265.8575,260.6701887,272.1,278.3,269.9,273.85,188046
16-06-2022 12:06,282.3729344,278.47,276.16,274.0166667,271.54,269.23,265.3270656,275,278.85,258.05,260.85,297444
17-06-2022 12:06,281.8756927,272.29,266.57,265.9166667,255.13,249.41,239.8243073,253.5,271.3,253.05,259.9,257371
20-06-2022 12:06,278.6440229,269.9375,264.91875,261.4166667,254.88125,249.8625,241.1559771,263.8,265.05,237,244,200317
21-06-2022 12:06,272.878481,259.4275,251.71375,248.6833333,236.28625,228.5725,215.121519,252.85,258.85,245,255.6,179820
22-06-2022 12:06,270.0492245,263.2175,259.40875,253.15,251.79125,247.9825,241.1507755,255,257.55,246.3,255.25,104077
23-06-2022 12:06,266.9088002,261.4375,258.34375,253.0333333,252.15625,249.0625,243.5911998,259,279,253.1,271.65,292282
24-06-2022 12:06,299.4482418,285.895,278.7725,267.9166667,264.5275,257.405,243.8517582,275.5,309,274.5,297.5,746608
27-06-2022 12:06,334.8907104,316.475,306.9875,293.6666667,288.0125,278.525,260.1092896,304.95,309.7,297.65,298.65,271516
28-06-2022 12:06,310.7404838,305.2775,301.96375,302,295.33625,292.0225,286.5595162,291,295,288.5,292.25,87398
29-06-2022 12:06,298.8344887,295.825,294.0375,291.9166667,290.4625,288.675,285.6655113,294.55,294.55,273.1,278.55,180937
30-06-2022 12:06,300.4280575,290.3475,284.44875,282.0666667,272.65125,266.7525,256.6719425,278,288.4,278,283.95,196273
01-07-2022 12:07,294.5725899,289.67,286.81,283.45,281.09,278.23,273.3274101,286.75,286.75,262.65,270.25,172896
04-07-2022 12:07,295.0473539,283.505,276.8775,273.2166667,263.6225,256.995,245.4526461,273.25,279.9,269.3,274.6,424238
05-07-2022 12:07,285.4086149,280.43,277.515,274.6,271.685,268.77,263.7913851,277.9,286,274.45,276.25,336806
06-07-2022 12:07,287.8757515,282.6025,279.42625,278.9,273.07375,269.8975,264.6242485,279.7,279.7,269.15,272,177942
07-07-2022 12:07,282.6617128,277.8025,274.90125,273.6166667,269.09875,266.1975,261.3382872,274.45,284.25,272.05,281.1,183719
08-07-2022 12:07,293.7058445,287.81,284.455,279.1333333,277.745,274.39,268.4941555,282,284.9,277,278.85,170757
11-07-2022 12:07,286.8027617,283.195,281.0225,280.25,276.6775,274.505,270.8972383,278.95,285.7,274.1,282.15,150029
12-07-2022 12:07,294.0906786,288.53,285.34,280.65,278.96,275.77,270.2093214,282.95,284.25,269.6,271.45,105624
13-07-2022 12:07,286.2005286,279.5075,275.47875,275.1,267.42125,263.3925,256.6994714,273.8,283.9,271.95,276.4,169774
